id;code;name;road_id
1;82;Нахичеванское отделение;18
2;168;Волховстроевский регион;1
3;170;Московский регион;1
4;172;Мурманский регион;1
5;174;Петрозаводский регион;1
6;176;Санкт-Петербург-Витебский регион;1
7;178;Санкт-Петербургский регион;1
8;180;Барановичское отделение;6
9;181;Брестское отделение;6
10;182;Витебское отделение;6
11;183;Гомельское отделение;6
12;184;Минское отделение;6
13;185;Могилевское отделение;6
14;186;Брянский регион;7
15;188;Московско-Курский регион;7
16;190;Московско-Рязанский регион;7
17;192;Московско-Смоленский регион;7
18;194;Орловско-Курский регион;7
19;196;Смоленский регион;7
20;198;Тульский регион;7
21;200;Горьковский регион;8
22;202;Ижевский регион;8
23;204;Казанский регион;8
24;206;Кировский регион;8
25;208;Муромский регион;8
26;210;Архангельский регион;9
27;212;Вологодский регион;9
28;214;Сольвычегодский регион;9
29;216;Сосногорский регион;9
30;218;Ярославский регион;9
31;220;Жмеринская дирекция;10
32;222;Казатинская дирекция;10
33;224;Киевская дирекция;10
34;226;Конотопская дирекция;10
35;228;Коростеньская дирекция;10
36;230;Ивано-Франковская дирекция;11
37;232;Львовская дирекция;11
38;234;Ровенская дирекция;11
39;236;Тернопольская дирекция;11
40;238;Ужгородская дирекция;11
41;240;Знаменская дирекция;13
42;242;Одесская дирекция;13
43;244;Херсонская дирекция;13
44;246;Шевченковская дирекция;13
45;250;Полтавская дирекция;14
46;252;Сумская дирекция;14
47;254;Харьковская дирекция;14
48;256;Днепровская дирекция;15
49;259;Запорожская дирекция;15
50;261;Криворожская дирекция;15
51;267;Донецкая дирекция;16
52;270;Лиманская дирекция;16
53;271;Луганская дирекция;16
54;275;Грозненский регион;17
55;277;Краснодарский регион;17
56;279;Махачкалинский регион;17
57;281;Минераловодский регион;17
58;283;Ростовский регион;17
59;285;Туапсинский регион;17
60;287;Западное отделение;18
61;289;Северное отделение;18
62;290;Южное отделение;18
63;291;Самтредское отделение;20
64;292;Тбилисское отделение;20
65;293;Белгородский регион;21
66;298;Лискинский регион;21
67;300;Мичуринский регион;21
68;304;Астраханский регион;22
69;306;Волгоградский регион;22
70;308;Саратовский регион;22
71;310;Башкирский регион;23
72;312;Волго-Камский регион;23
73;315;Пензенский регион;23
74;317;Самарский регион;23
75;321;Акмолинское отделение;24
76;324;Алматинское отделение;24
77;325;Атырауское отделение;24
78;326;Восточно-Казахстанское отделение;24
79;328;Жамбулское отделение;24
80;331;Карагандинское отделение;24
81;332;Костанайское отделение;24
82;334;Кызылординское отделение;24
83;335;Мангистауское отделение;24
84;336;Павлодарское отделение;24
85;337;Семейское отделение;24
86;339;Уральское отделение;24
87;340;Шымкентское отделение;24
88;341;Бухарский РЖУ;26
89;343;Каршинский РЖУ;26
90;345;Кокандский РЖУ;26
91;346;Кунградский РЖУ;26
92;349;Ташкентский РЖУ;26
93;351;Термезский РЖУ;26
94;354;Екатеринбургский регион;29
95;355;Нижне-Тагильский регион;29
96;357;Пермский регион;29
97;361;Сургутский регион;29
98;363;Тюменский регион;29
99;365;Златоустовский регион;30
100;367;Курганский регион;30
101;369;Оренбургский регион;30
102;373;Петропавловский регион;30
103;375;Челябинский регион;30
104;377;Алтайский регион;31
105;379;Кузбасский регион;31
106;381;Новосибирский регион;31
107;383;Омский регион;31
108;385;Абаканский регион;33
109;387;Красноярский регион;33
110;392;Иркутский регион;35
111;395;Северобайкальский регион;35
112;397;Тайшетский регион;35
113;399;Улан-Удэнский регион;35
114;402;Борзинский регион;36
115;403;Могочинский регион;36
116;405;Свободненский регион;36
117;407;Читинский регион;36
118;409;Владивостокский регион;37
119;411;Комсомольский регион;37
120;413;Сахалинский регион;37
121;415;Тындинский регион;37
122;417;Хабаровский регион;37
123;420;Актобинское отделение;24
