id;code;name;short_name
1;1;ОКТЯБРЬСКАЯ;ОКТ
2;8;ЭСТОНСКАЯ;ЭСТ
3;9;ЛАТВИЙСКАЯ;ЛАТ
4;10;КАЛИНИНГРАДСКАЯ;КЛГ
5;12;ЛИТОВСКАЯ;ЛИТ
6;13;БЕЛОРУССКАЯ;БЕЛ
7;17;МОСКОВСКАЯ;МСК
8;24;ГОРЬКОВСКАЯ;ГОР
9;28;СЕВЕРНАЯ;СЕВ
10;32;ЮГО-ЗАПАДНАЯ;ЮЗП
11;35;ЛЬВОВСКАЯ;ЛЬВ
12;39;МОЛДАВСКАЯ;МЛД
13;40;ОДЕССКАЯ;ОДС
14;43;ЮЖНАЯ;ЮЖН
15;45;ПРИДНЕПРОВСКАЯ;ПДН
16;48;ДОНЕЦКАЯ;ДОН
17;51;СЕВЕРО-КАВКАЗСКАЯ;СКВ
18;55;АЗЕРБАЙДЖАНСКАЯ;АЗР
19;56;"ЗАО ""ЮЖНО-КАВКАЗСКАЯ""";ЮКЖ
20;57;ГРУЗИНСКАЯ;ГРЗ
21;58;ЮГО-ВОСТОЧНАЯ;ЮВС
22;61;ПРИВОЛЖСКАЯ;ПРВ
23;63;КУЙБЫШЕВСКАЯ;КБШ
24;68;КАЗАХСТАНСКИЕ;КЗХ
25;70;КЫРГЫЗСКАЯ;КРГ
26;73;УЗБЕКСКИЕ;УЗБ
27;74;ТАДЖИКСКАЯ;ТДЖ
28;75;ТУРКМЕНСКАЯ;ТРК
29;76;СВЕРДЛОВСКАЯ;СВР
30;80;ЮЖНО-УРАЛЬСКАЯ;ЮУР
31;83;ЗАПАДНО-СИБИРСКАЯ;ЗСБ
32;85;"ФГУП ""КЖД""";КРМ
33;88;КРАСНОЯРСКАЯ;КРС
34;91;"АО ""АК""ЖЕЛЕЗНЫЕ ДОРОГИ ЯКУТИИ""";ЖДЯ
35;92;ВОСТОЧНО-СИБИРСКАЯ;ВСБ
36;94;ЗАБАЙКАЛЬСКАЯ;ЗАБ
37;96;ДАЛЬНЕВОСТОЧНАЯ;ДВС
38;110;ФИНСКАЯ;ФИН
39;115;УЛАН-БАТОРСКАЯ;УБЖ
40;135;АФГАНСКАЯ;АФГ
